Damaged_Parts,Severity,Cost_Repair_Euros
"Fender, Door, Light, Bumper",minor,156
"Fender, Bumper",severe,250
"Bumper, Light, Windshield, Fender, Door, Dickey, Bonnet",severe,826
"Bonnet, Bumper, Windshield",severe,360
"Light, Bumper",minor,90
"Door, Windshield",minor,46
"Bonnet, Light, Door, Dickey",moderate,336
"Bonnet, Fender",severe,236
"Bumper, Light, Bonnet, Dickey, Fender, Door",moderate,402
"Bonnet, Windshield, Fender",minor,147
"Dickey, Bonnet, Bumper, Fender, Light, Windshield",minor,180
"Door, Bumper, Light, Windshield, Dickey",minor,230
Fender,minor,45
"Light, Dickey, Bonnet, Bumper, Door, Fender, Windshield",moderate,616
"Windshield, Light, Bumper, Fender, Bonnet, Dickey",moderate,462
"Bumper, Fender, Bonnet",moderate,165
"Light, Bumper, Bonnet, Door, Fender",minor,195
"Dickey, Fender, Bumper, Light, Windshield, Door",severe,750
"Windshield, Bonnet, Fender",moderate,222
"Bonnet, Fender, Bumper, Windshield, Door",severe,695
"Bumper, Door, Fender, Dickey, Light, Windshield, Bonnet",moderate,595
"Windshield, Bumper",severe,272
"Dickey, Fender, Windshield, Door, Bumper",minor,195
"Fender, Door, Windshield, Dickey, Bonnet",severe,680
"Door, Bonnet, Bumper, Windshield",severe,416
"Dickey, Fender, Bumper, Bonnet, Light, Door, Windshield",severe,1015
"Bumper, Dickey, Bonnet, Door, Fender",moderate,495
"Windshield, Bonnet, Dickey, Light",moderate,212
"Bumper, Light, Bonnet, Windshield, Door, Dickey, Fender",moderate,553
Bumper,severe,121
Dickey,moderate,69
Bumper,minor,27
"Fender, Bumper, Light, Bonnet, Windshield",moderate,415
"Fender, Bonnet",minor,86
"Light, Bonnet, Windshield, Dickey, Fender, Door, Bumper",minor,210
"Bonnet, Light",minor,88
"Windshield, Dickey, Door",severe,321
"Bonnet, Dickey, Light, Fender",minor,80
"Light, Door, Bumper, Windshield, Fender",moderate,445
"Dickey, Bumper, Door, Bonnet, Fender, Light",severe,624
"Dickey, Bumper, Bonnet",minor,93
Dickey,moderate,68
"Dickey, Windshield, Fender, Door, Light, Bumper, Bonnet",moderate,588
"Fender, Bumper, Windshield, Bonnet",moderate,356
"Light, Fender, Windshield",severe,324
"Fender, Dickey, Bumper, Light, Door, Bonnet, Windshield",severe,896
"Light, Dickey",minor,42
"Light, Fender, Bumper, Windshield, Door",severe,625
"Dickey, Bonnet, Door, Light, Fender, Windshield, Bumper",severe,1036
"Windshield, Bonnet, Light, Bumper",moderate,344
"Fender, Dickey, Door, Bonnet, Bumper, Light",minor,120
"Fender, Windshield, Bonnet, Bumper",severe,416
"Bumper, Light, Fender, Dickey",minor,160
"Fender, Light, Dickey, Bumper",minor,132
"Bonnet, Bumper",minor,52
"Dickey, Bumper, Windshield",moderate,288
"Fender, Bumper, Bonnet, Door, Dickey",severe,720
"Fender, Bonnet, Windshield",severe,423
Dickey,minor,41
"Fender, Bonnet, Door, Bumper, Light, Dickey",severe,786
"Fender, Windshield, Bumper, Door",moderate,332
Fender,severe,116
"Bumper, Fender, Windshield, Bonnet, Dickey, Door, Light",severe,756
"Door, Bumper, Windshield",severe,339
"Dickey, Bonnet, Fender, Windshield, Door, Light, Bumper",moderate,609
"Dickey, Windshield, Door, Bumper, Fender, Light",minor,180
"Bumper, Bonnet, Door, Dickey, Fender",moderate,300
Windshield,moderate,91
"Dickey, Bumper, Light, Fender, Door, Windshield",minor,300
"Bumper, Fender, Dickey, Bonnet",minor,88
"Fender, Bumper, Dickey, Windshield",minor,156
"Windshield, Dickey",minor,90
"Bonnet, Bumper, Dickey, Light",minor,136
"Light, Door, Bumper",severe,432
"Bonnet, Door, Dickey, Light, Windshield",minor,105
"Door, Windshield, Bonnet, Bumper",moderate,332
"Fender, Bonnet",minor,90
"Bonnet, Windshield, Door, Dickey, Bumper, Fender, Light",minor,245
"Fender, Windshield, Dickey, Bumper, Light, Door, Bonnet",minor,308
"Bumper, Dickey, Door, Light, Bonnet, Fender",minor,240
"Door, Bumper",severe,218
Light,severe,133
"Dickey, Door",severe,286
"Fender, Light, Bonnet, Windshield, Door, Bumper",moderate,300
"Light, Bonnet, Dickey",severe,381
"Light, Dickey, Windshield, Door, Bumper, Bonnet, Fender",minor,203
"Bonnet, Light, Windshield, Bumper, Dickey, Door, Fender",moderate,483
Bonnet,moderate,60
"Windshield, Fender, Dickey",minor,108
"Light, Dickey, Windshield, Bonnet",severe,572
"Door, Light, Fender, Dickey, Bumper",severe,695
"Dickey, Fender, Bumper, Light, Windshield",minor,135
"Windshield, Bonnet, Bumper, Door",minor,192
Door,minor,44
"Fender, Door, Light, Bumper, Dickey",minor,200
"Light, Dickey, Windshield, Fender, Door, Bonnet",severe,870
"Dickey, Windshield, Bonnet, Fender, Bumper",minor,205
"Light, Windshield, Fender, Door, Bonnet, Dickey",moderate,498
"Light, Bonnet, Windshield, Door, Bumper, Fender, Dickey",minor,161
"Dickey, Light, Bonnet, Fender, Door, Windshield, Bumper",minor,245
"Fender, Door, Dickey, Bumper, Windshield",severe,610
"Fender, Bonnet, Light",moderate,177
"Bumper, Dickey, Fender, Windshield",moderate,320
"Bumper, Light, Door, Fender, Bonnet, Dickey",minor,192
"Bumper, Windshield",minor,94
"Fender, Bumper, Windshield, Light, Dickey, Bonnet",minor,264
"Fender, Door, Light",severe,393
"Dickey, Light, Bumper, Door, Windshield",minor,130
"Bonnet, Windshield, Fender, Bumper, Door, Dickey",minor,222
"Light, Door, Bumper, Fender, Bonnet, Dickey, Windshield",severe,966
"Bonnet, Door, Windshield, Bumper, Dickey",minor,120
"Light, Bumper, Bonnet, Dickey, Door, Fender, Windshield",severe,924
"Dickey, Light",severe,274
Fender,minor,34
"Door, Bonnet, Windshield, Dickey, Bumper, Fender",moderate,600
"Bonnet, Door, Bumper, Fender, Dickey, Windshield, Light",severe,1029
"Bumper, Windshield, Dickey, Door, Bonnet",minor,190
"Door, Bumper, Fender",moderate,189
"Dickey, Door, Bumper, Bonnet, Fender, Light",minor,156
Light,moderate,55
"Dickey, Door, Bumper",moderate,195
"Door, Dickey, Fender, Light, Bonnet, Windshield",moderate,516
"Bumper, Door, Windshield, Fender, Dickey",severe,745
"Windshield, Bonnet, Door",minor,78
"Bumper, Door, Windshield, Fender, Dickey, Bonnet",minor,150
"Bumper, Door, Bonnet",moderate,246
"Bonnet, Door, Dickey, Bumper, Light, Fender",minor,234
"Light, Fender, Door, Dickey, Windshield, Bumper, Bonnet",severe,938
"Door, Bonnet, Bumper, Light, Fender",moderate,470
Light,minor,22
"Bonnet, Windshield, Light",minor,111
"Light, Door",severe,218
"Light, Bonnet, Door",minor,66
"Light, Fender, Bonnet, Bumper",moderate,364
Dickey,severe,139
"Windshield, Fender, Dickey",minor,129
"Bumper, Door, Dickey",moderate,240
Door,moderate,73
"Fender, Light, Bumper",minor,108
"Bonnet, Dickey, Light, Door",moderate,344
"Light, Door, Fender, Bonnet, Dickey",moderate,380
Light,minor,49
"Light, Fender",minor,54
"Bumper, Door, Dickey, Fender",moderate,212
Windshield,moderate,56
"Bonnet, Door, Windshield, Bumper, Dickey, Light, Fender",minor,203
"Light, Bonnet, Bumper, Door",moderate,348
"Windshield, Light, Bumper, Dickey, Bonnet",moderate,335
"Bumper, Windshield, Light, Fender",severe,448
"Bumper, Windshield, Fender, Light, Dickey",moderate,345
"Bumper, Light, Door, Fender, Windshield, Dickey",moderate,564
"Door, Windshield, Fender",moderate,249
"Dickey, Fender",minor,48
"Windshield, Fender, Light, Door",minor,172
"Dickey, Fender, Light, Bonnet, Door",severe,550
Light,moderate,64
"Windshield, Bonnet, Bumper, Door, Fender",minor,215
"Dickey, Bonnet, Door, Fender, Windshield, Bumper",minor,156
Windshield,moderate,77
"Dickey, Fender, Light",severe,342
"Dickey, Bumper",moderate,136
"Door, Windshield, Light, Bonnet, Fender",minor,210
"Light, Bonnet, Fender, Door",minor,180
Bumper,severe,129
"Fender, Bonnet",severe,206
"Windshield, Bonnet, Fender, Light",moderate,272
Windshield,minor,27
"Fender, Bonnet, Windshield, Light, Bumper, Dickey",moderate,444
"Light, Door, Bonnet, Fender, Dickey, Windshield",minor,288
"Door, Fender, Bonnet, Windshield, Bumper, Light, Dickey",moderate,350
"Door, Bumper, Light",moderate,252
"Door, Light, Bonnet, Windshield",moderate,232
"Fender, Windshield, Door, Bonnet, Light, Dickey, Bumper",minor,301
"Door, Dickey, Light, Fender",severe,552
"Bonnet, Dickey, Fender",severe,441
"Light, Dickey, Windshield, Bonnet, Door, Fender, Bumper",minor,273
"Light, Bonnet, Fender, Windshield, Dickey, Bumper",severe,606
Bonnet,severe,145
"Fender, Bonnet, Dickey, Windshield",minor,180
"Door, Bumper, Dickey, Windshield, Bonnet, Light, Fender",severe,1029
"Bumper, Light, Door, Windshield, Fender, Bonnet",severe,612
"Windshield, Fender, Bumper, Light, Bonnet, Dickey, Door",severe,749
"Dickey, Bumper, Door, Bonnet, Windshield",severe,530
"Bumper, Door, Light, Windshield",severe,464
Bonnet,severe,116
"Dickey, Light, Door, Bonnet, Fender, Windshield, Bumper",severe,917
"Bonnet, Dickey, Bumper",minor,66
"Door, Bonnet, Dickey, Windshield, Light",severe,625
"Bonnet, Windshield, Fender, Dickey, Light",minor,120
"Windshield, Fender, Bonnet, Dickey, Bumper",minor,175
"Dickey, Windshield, Fender, Door, Light, Bumper, Bonnet",severe,714
"Dickey, Bumper, Fender",severe,450
"Light, Door, Fender, Windshield, Bonnet, Dickey, Bumper",minor,301
"Door, Fender, Bumper",minor,60
"Bonnet, Door, Fender, Bumper, Dickey, Light",moderate,522
"Light, Windshield, Dickey",moderate,180
Dickey,severe,143
"Fender, Windshield, Door",severe,354
"Door, Light, Bumper, Dickey, Fender, Windshield, Bonnet",severe,749
"Fender, Bonnet, Dickey, Windshield, Door",minor,105
"Light, Dickey, Windshield, Bumper, Door, Fender, Bonnet",minor,189
"Fender, Bumper, Light",moderate,183
"Fender, Light, Bonnet, Bumper, Door, Windshield",severe,612
"Bonnet, Fender, Dickey, Door, Bumper",moderate,270
"Light, Door",moderate,110
"Dickey, Fender, Bumper, Bonnet, Windshield",moderate,430
"Bonnet, Fender, Bumper",severe,360
"Light, Bonnet, Door",minor,87
"Windshield, Bonnet",minor,74
"Fender, Windshield",moderate,172
"Bumper, Windshield, Fender, Door, Bonnet",moderate,335
"Fender, Bonnet, Dickey, Door, Bumper, Windshield",severe,642
"Bonnet, Light, Bumper, Fender, Windshield, Dickey",minor,138
"Bonnet, Bumper, Door, Windshield, Fender",severe,585
"Fender, Windshield, Bumper, Dickey, Door, Bonnet",minor,228
"Door, Windshield, Fender",moderate,171
Light,moderate,64
"Bumper, Windshield",minor,52
"Fender, Bumper",minor,54
Windshield,minor,32
"Fender, Bonnet, Bumper",moderate,297
"Windshield, Bonnet, Fender, Dickey, Light, Door",minor,222
"Bumper, Door, Fender, Bonnet",severe,404
"Dickey, Fender, Bumper, Bonnet, Door, Light",severe,678
"Windshield, Fender",minor,58
"Bumper, Light, Windshield, Dickey, Bonnet",severe,635
"Windshield, Light, Bonnet, Dickey, Door, Fender",minor,234
"Fender, Door, Bumper, Light, Windshield",moderate,345
"Dickey, Door, Windshield, Fender, Bumper",minor,195
"Bonnet, Dickey, Fender, Windshield, Door, Bumper",severe,810
"Fender, Dickey, Bonnet, Door, Windshield, Light, Bumper",severe,721
Light,moderate,65
"Door, Light, Fender, Windshield",moderate,356
"Windshield, Fender, Bonnet, Bumper",moderate,272
"Windshield, Fender, Light, Dickey, Door, Bumper",minor,288
"Dickey, Bumper, Light, Windshield, Fender",moderate,265
"Bumper, Fender, Dickey",minor,96
"Light, Windshield",minor,50
"Windshield, Fender, Light, Bumper",severe,452
Dickey,minor,23
"Bonnet, Door, Light, Bumper, Fender, Dickey",minor,192
"Light, Windshield, Door, Bumper, Fender, Dickey, Bonnet",moderate,427
Bumper,moderate,56
"Windshield, Door, Light",severe,333
Bonnet,minor,48
"Door, Fender, Light, Windshield",severe,572
"Dickey, Light, Door, Windshield, Fender, Bumper",minor,198
"Windshield, Light, Door, Dickey, Bonnet, Bumper, Fender",moderate,686
"Bumper, Light",severe,294
"Bonnet, Fender, Light, Dickey, Door",minor,145
"Fender, Door, Windshield, Bonnet",severe,488
"Door, Bumper, Light",severe,393
"Bonnet, Fender, Windshield, Bumper, Door, Light",severe,672
"Fender, Door, Bumper, Dickey",severe,600
"Door, Fender, Bumper, Bonnet, Windshield",minor,150
"Dickey, Bumper, Fender, Windshield, Bonnet",minor,140
"Bumper, Bonnet",moderate,112
"Bonnet, Bumper, Light, Door, Dickey, Fender, Windshield",severe,700
"Door, Fender",moderate,188
"Dickey, Door, Fender, Bonnet, Windshield, Bumper",severe,822
"Light, Windshield, Bumper, Fender, Dickey",moderate,260
Light,severe,148
"Bumper, Light, Fender, Windshield, Door",severe,500
"Dickey, Bumper, Windshield",severe,333
"Bonnet, Fender, Windshield, Dickey, Bumper",moderate,315
"Fender, Door, Bonnet",severe,399
"Fender, Bumper, Bonnet",minor,144
"Dickey, Door, Bumper",minor,102
"Bonnet, Windshield",moderate,136
"Fender, Light, Bumper, Door, Dickey, Bonnet",moderate,402
"Windshield, Dickey",moderate,160
"Bonnet, Windshield",severe,200
"Light, Fender, Windshield, Bonnet",severe,468
"Door, Fender",minor,60
"Windshield, Door, Fender, Light, Bonnet, Bumper",severe,738
"Door, Dickey, Windshield, Fender, Bumper, Bonnet, Light",minor,259
"Door, Dickey, Windshield, Fender, Light, Bonnet",moderate,354
"Bonnet, Light, Bumper, Dickey, Door",severe,675
Bumper,severe,127
"Light, Bumper, Dickey, Windshield, Bonnet",minor,225
"Fender, Windshield",moderate,130
"Windshield, Bonnet, Door",minor,63
Fender,moderate,55
Bonnet,minor,42
Windshield,minor,42
Bonnet,moderate,59
"Fender, Light",severe,240
Fender,severe,138
"Bumper, Door, Light, Dickey, Windshield",severe,730
"Door, Dickey, Bumper",severe,342
"Fender, Bumper, Dickey, Door, Windshield, Light",severe,720
Door,minor,35
Windshield,moderate,54
"Dickey, Bumper",minor,88
"Bonnet, Light, Dickey, Windshield",moderate,324
"Windshield, Fender, Bonnet, Light, Dickey, Door, Bumper",minor,350
"Bonnet, Door, Dickey, Light, Fender, Windshield, Bumper",moderate,364
"Door, Dickey, Bonnet, Fender, Windshield, Light, Bumper",moderate,427
"Dickey, Bumper, Bonnet, Fender, Light, Windshield, Door",severe,784
"Light, Door",minor,44
"Windshield, Fender, Bonnet, Light, Bumper, Dickey, Door",moderate,413
"Bumper, Door",minor,88
Fender,severe,139
"Bonnet, Light, Fender, Door, Windshield, Dickey",moderate,348
"Door, Windshield, Fender",moderate,276
"Windshield, Fender, Bumper, Bonnet, Light",severe,575
"Door, Dickey",minor,86
"Door, Fender, Windshield, Dickey, Bumper, Bonnet, Light",severe,994
"Dickey, Light, Bonnet",moderate,210
"Bonnet, Fender, Bumper, Windshield",severe,512
"Bumper, Fender, Door, Light, Windshield",moderate,290
Windshield,severe,137
"Bonnet, Bumper, Light, Door",moderate,312
"Fender, Bonnet",minor,66
"Dickey, Fender, Windshield",moderate,285
"Bonnet, Fender, Windshield, Door",severe,576
"Bonnet, Door, Fender, Dickey, Light",moderate,360
"Fender, Dickey, Windshield, Light, Bumper, Door",severe,846
Windshield,severe,133
"Door, Bonnet, Dickey, Light",minor,140
"Light, Door, Windshield, Fender, Dickey",moderate,365
"Light, Door, Fender",severe,315
"Dickey, Windshield, Fender, Bonnet, Light",minor,175
"Dickey, Door, Bumper, Light, Windshield, Fender, Bonnet",severe,924
"Bonnet, Windshield",severe,212
Door,moderate,75
"Windshield, Bumper, Bonnet, Fender, Dickey",moderate,440
"Bonnet, Bumper, Fender, Door",moderate,388
"Bonnet, Light",minor,84
"Fender, Bumper, Door, Bonnet, Light, Dickey, Windshield",moderate,567
"Light, Fender, Dickey, Door, Bumper, Windshield",moderate,468
"Windshield, Bumper, Light, Bonnet, Door, Fender",severe,702
"Bumper, Fender, Light",severe,318
Dickey,severe,147
"Bumper, Light, Fender",minor,87
"Bumper, Light, Door, Bonnet, Dickey",moderate,335
"Light, Fender, Bonnet, Bumper, Windshield",severe,650
"Bumper, Windshield, Dickey, Bonnet, Light, Door, Fender",severe,763
"Dickey, Bonnet, Door",minor,78
"Bonnet, Fender, Door, Bumper, Dickey, Windshield",severe,840
Light,severe,106
"Fender, Light, Bumper, Bonnet",moderate,392
"Dickey, Light, Windshield, Bonnet, Bumper",moderate,290
"Bonnet, Light, Fender, Windshield, Door, Bumper, Dickey",moderate,623
"Door, Light, Bumper, Dickey",minor,124
"Fender, Bumper, Windshield, Bonnet, Door",minor,105
"Bumper, Fender",minor,66
"Fender, Windshield, Bumper, Light, Bonnet, Door",moderate,468
"Light, Dickey",moderate,194
"Dickey, Door, Fender, Light, Windshield, Bumper, Bonnet",severe,735
Fender,severe,103
Bumper,minor,21
"Dickey, Bonnet, Windshield",severe,336
"Fender, Windshield",minor,96
"Door, Bonnet, Windshield, Bumper, Fender, Light",severe,660
"Dickey, Bumper, Bonnet, Fender, Door",severe,620
"Bumper, Light, Door, Windshield, Bonnet, Dickey, Fender",minor,280
"Dickey, Bumper, Light, Fender, Bonnet, Windshield",moderate,570
"Bonnet, Door, Light",minor,141
"Light, Bumper, Door, Bonnet, Windshield",severe,590
"Light, Bonnet, Bumper, Fender, Dickey",minor,225
"Dickey, Bonnet, Light, Door, Windshield, Fender, Bumper",minor,238
Windshield,moderate,72
Bonnet,severe,103
"Dickey, Bumper, Windshield",minor,75
"Door, Bonnet",minor,52
"Dickey, Bumper, Door",moderate,192
"Bumper, Door, Light, Bonnet, Windshield",minor,120
"Light, Windshield, Fender, Door, Dickey, Bumper",severe,774
"Bumper, Light, Windshield, Fender, Door",severe,725
"Door, Bonnet",minor,46
"Bonnet, Dickey, Door, Windshield, Light",severe,530
"Door, Fender, Bonnet, Light",moderate,300
Fender,minor,39
"Light, Bonnet, Fender, Bumper, Door, Dickey",severe,630
"Bumper, Door",minor,54
"Fender, Dickey, Bonnet, Windshield",moderate,392
"Bumper, Fender, Windshield, Dickey, Light, Door",minor,120
"Fender, Light, Dickey, Door, Windshield, Bumper",minor,138
"Dickey, Light, Bonnet, Windshield, Door",severe,540
"Door, Windshield, Light, Bumper, Fender",moderate,275
"Windshield, Light, Bumper, Bonnet, Fender, Door, Dickey",severe,973
"Bonnet, Windshield, Light, Fender",moderate,212
"Dickey, Door, Fender, Bumper",moderate,292
Bonnet,moderate,100
Bonnet,minor,50
Fender,severe,104
"Light, Bonnet",severe,220
Windshield,severe,108
"Light, Bumper, Door",minor,141
"Dickey, Windshield",moderate,150
"Bonnet, Door, Dickey",severe,309
"Bumper, Bonnet, Light, Windshield",moderate,296
"Bumper, Light, Door, Bonnet, Fender, Windshield, Dickey",moderate,644
"Door, Light, Windshield, Bonnet, Bumper",moderate,440
"Windshield, Dickey",severe,204
"Light, Door, Windshield",severe,339
"Windshield, Bumper, Door, Bonnet, Fender",severe,525
"Fender, Bumper",severe,204
Dickey,minor,22
Dickey,minor,46
"Bumper, Windshield, Bonnet",moderate,234
"Bonnet, Windshield, Dickey, Light, Fender, Door",moderate,300
"Windshield, Dickey, Light, Bonnet, Door, Fender, Bumper",severe,938
"Bumper, Bonnet",minor,92
"Fender, Light",severe,268
"Dickey, Door, Windshield, Bonnet",moderate,264
"Windshield, Bonnet, Door, Fender, Bumper, Dickey",severe,822
"Fender, Bumper, Bonnet, Windshield, Light, Dickey, Door",moderate,567
"Fender, Bonnet, Bumper, Door",severe,448
"Windshield, Door",moderate,154
"Light, Door",minor,56
Bumper,minor,32
"Bonnet, Fender, Bumper, Windshield, Dickey, Door",severe,642
"Dickey, Windshield, Light",moderate,288
"Windshield, Dickey, Bumper, Fender",minor,180
"Light, Windshield, Bonnet, Fender, Door",moderate,255
Fender,moderate,95
"Bumper, Bonnet, Dickey, Fender",minor,164
"Light, Bonnet, Fender, Door, Windshield, Dickey, Bumper",minor,238
Bumper,minor,32
"Dickey, Door",severe,282
"Windshield, Bonnet",severe,224
"Dickey, Light, Fender, Bonnet",minor,200
Windshield,moderate,52
"Bumper, Door, Dickey, Bonnet",severe,572
"Bonnet, Windshield, Door",severe,300
"Door, Bonnet, Light, Windshield, Dickey, Fender",severe,846
"Fender, Bumper, Door, Windshield, Light, Dickey",severe,690
Light,severe,100
"Bonnet, Door, Light, Windshield",moderate,264
"Light, Windshield, Bumper, Fender, Door, Bonnet, Dickey",severe,910
"Light, Dickey, Bonnet, Door, Fender, Bumper",minor,156
"Windshield, Light, Bonnet",severe,387
"Light, Door",minor,92
"Door, Bonnet, Bumper, Dickey, Windshield",minor,115
"Light, Bumper, Door, Bonnet, Windshield, Fender",minor,180
"Dickey, Fender, Bumper, Door, Windshield, Bonnet",severe,882
"Dickey, Door, Light, Windshield, Bonnet, Fender, Bumper",moderate,686
"Door, Fender",severe,236
Windshield,minor,28
"Door, Bonnet, Light, Bumper, Fender",severe,630
"Light, Bonnet, Bumper",minor,90
"Bumper, Door",minor,54
"Dickey, Windshield, Light, Bumper",moderate,380
"Dickey, Fender, Bonnet, Light, Bumper, Door",minor,222
"Fender, Windshield",moderate,166
"Door, Bonnet, Fender, Bumper, Light, Dickey",severe,648
"Light, Bonnet, Fender, Bumper",severe,476
"Dickey, Fender, Door, Bonnet",severe,504
"Door, Light, Dickey",severe,375
"Door, Light, Bonnet, Bumper, Windshield, Fender",severe,816
"Dickey, Bumper, Windshield, Door, Fender, Bonnet, Light",moderate,637
"Bonnet, Fender, Light, Bumper, Windshield, Door",minor,258
Windshield,minor,48
"Door, Dickey, Bumper, Fender, Bonnet",minor,150
"Windshield, Door, Dickey, Bumper, Light",moderate,400
"Door, Bonnet, Fender, Bumper, Dickey, Windshield, Light",severe,707
"Bumper, Light, Fender, Dickey, Door",minor,155
"Dickey, Light, Windshield, Fender",minor,140
"Bonnet, Windshield, Bumper, Door",minor,172
"Light, Door, Bumper, Windshield, Fender, Bonnet, Dickey",severe,714
"Light, Windshield, Bonnet, Bumper, Door, Fender, Dickey",severe,812
"Light, Dickey, Windshield, Bonnet, Door, Fender",minor,282
"Windshield, Dickey, Bumper, Light",minor,192
"Bumper, Fender, Bonnet, Windshield",moderate,348
Windshield,minor,37
"Light, Bumper, Bonnet, Dickey, Door, Windshield",minor,168
"Windshield, Light",minor,92
"Fender, Windshield, Door, Light, Dickey, Bumper, Bonnet",severe,889
"Fender, Bumper, Bonnet, Door, Dickey, Light, Windshield",severe,861
"Bumper, Dickey, Light, Fender, Bonnet",moderate,425
"Fender, Windshield, Bumper, Light, Door, Dickey, Bonnet",severe,728
"Light, Door, Fender, Bonnet, Dickey, Bumper, Windshield",minor,217
"Light, Bonnet, Windshield, Door, Fender, Bumper, Dickey",minor,266
"Door, Fender, Bumper, Dickey, Light, Windshield, Bonnet",severe,1015
"Light, Dickey, Windshield, Bonnet, Door, Bumper, Fender",minor,301
"Door, Windshield, Bumper, Bonnet, Light",moderate,375
"Fender, Door, Windshield, Light, Bonnet, Bumper, Dickey",minor,266
"Dickey, Windshield, Bonnet, Fender",moderate,336
"Light, Fender",minor,80
"Bumper, Fender, Bonnet, Dickey, Door, Windshield",moderate,336
"Bonnet, Door, Light, Dickey, Bumper, Windshield",severe,858
"Windshield, Fender",moderate,110
"Bumper, Door, Dickey, Fender, Windshield, Light, Bonnet",severe,1022
"Fender, Dickey, Light, Bonnet, Windshield, Door",moderate,534
Bonnet,severe,146
"Light, Bonnet, Dickey, Bumper",severe,500
"Door, Bonnet, Dickey",moderate,204
"Door, Fender",minor,76
"Bumper, Dickey, Bonnet, Windshield, Light",severe,595
"Door, Fender, Bonnet, Dickey, Bumper",severe,720
"Fender, Windshield, Bonnet",severe,336
"Windshield, Door, Fender, Bumper",minor,160
"Dickey, Door, Bumper, Bonnet, Windshield, Light",moderate,348
"Windshield, Fender, Bumper, Door, Light, Bonnet, Dickey",moderate,581
Dickey,minor,32
"Fender, Door",severe,284
Light,moderate,66
Light,severe,108
"Dickey, Door, Bumper, Bonnet, Windshield, Fender",moderate,558
"Fender, Door, Bonnet, Light, Bumper, Windshield, Dickey",moderate,700
"Windshield, Bumper",severe,250
Bonnet,severe,144
Fender,minor,27
"Bumper, Light",minor,66
"Bonnet, Windshield, Fender, Bumper, Dickey",severe,725
"Door, Windshield, Bonnet, Dickey, Light, Fender, Bumper",moderate,686
"Bonnet, Bumper, Fender, Door",moderate,200
"Bumper, Light, Bonnet, Fender",moderate,392
"Dickey, Bumper, Fender",minor,78
"Bonnet, Door, Bumper",minor,66
"Dickey, Door",moderate,108
"Windshield, Dickey",severe,240
"Windshield, Dickey, Bumper, Door, Light, Fender, Bonnet",minor,308
"Light, Bonnet, Windshield",moderate,219
"Fender, Door, Windshield",severe,303
"Bumper, Light, Fender, Dickey, Bonnet, Windshield",severe,834
"Dickey, Light",moderate,180
"Bumper, Windshield, Door, Dickey",severe,552
"Fender, Light",minor,46
"Door, Bonnet, Dickey, Fender, Windshield",minor,160
"Fender, Bumper, Light, Bonnet, Door, Windshield",severe,792
"Light, Door, Bumper, Dickey",severe,572
"Fender, Bumper",moderate,112
"Light, Bonnet, Bumper, Fender",minor,116
"Bonnet, Windshield, Fender, Bumper",minor,92
"Light, Fender",minor,56
"Bonnet, Fender, Windshield",severe,384
"Light, Windshield, Fender, Door",moderate,316
"Dickey, Fender, Bonnet",minor,96
"Fender, Windshield, Bumper, Bonnet, Door, Dickey, Light",moderate,595
"Fender, Bumper, Dickey, Door",severe,536
"Fender, Dickey, Bonnet, Windshield",minor,192
Fender,minor,21
"Bonnet, Door, Light, Dickey",severe,572
"Fender, Door, Windshield, Bonnet, Light, Bumper",moderate,348
"Light, Door, Dickey, Bumper, Bonnet",minor,205
"Door, Dickey, Bonnet, Bumper, Light",moderate,325
"Dickey, Bumper, Door",minor,63
"Dickey, Bumper, Windshield, Door, Light, Fender",minor,288
"Windshield, Door, Light, Bumper, Bonnet, Fender",moderate,534
"Bumper, Door",severe,262
"Bumper, Bonnet, Door, Fender",minor,176
"Bumper, Door, Fender, Light, Windshield, Bonnet",moderate,324
"Fender, Windshield, Dickey, Bonnet",moderate,380
"Light, Bonnet, Door",moderate,195
"Dickey, Windshield, Light, Bumper",minor,84
"Bumper, Fender, Door, Light",moderate,312
Dickey,moderate,57
"Fender, Windshield",severe,236
"Fender, Light, Door, Bumper, Dickey, Bonnet",severe,888
"Dickey, Light, Windshield, Bonnet, Door",minor,100
"Fender, Door, Dickey",moderate,216
Light,moderate,59
"Light, Bumper, Fender, Dickey, Door, Bonnet",severe,738
"Bonnet, Dickey, Fender, Windshield, Light, Bumper",moderate,444
"Light, Door, Bumper, Fender, Dickey, Bonnet",severe,888
"Windshield, Bonnet, Fender, Bumper, Door",moderate,480
Bonnet,severe,136
Fender,minor,43
"Bumper, Fender, Light, Door, Windshield, Dickey, Bonnet",moderate,672
"Windshield, Fender",moderate,146
"Dickey, Bonnet, Door, Windshield, Fender, Bumper",severe,672
"Dickey, Bumper, Door, Light, Bonnet, Windshield, Fender",moderate,441
"Bonnet, Door, Fender, Dickey",moderate,392
"Bumper, Light, Door, Dickey",severe,464
"Windshield, Dickey, Door, Bumper",moderate,348
"Light, Door, Fender, Windshield",minor,188
Bumper,minor,31
"Light, Fender",minor,62
"Windshield, Door, Fender, Light, Bumper, Bonnet",moderate,444
"Door, Fender, Bumper, Bonnet",moderate,328
"Fender, Windshield, Bonnet, Bumper, Light",moderate,310
"Bonnet, Fender, Door, Light, Bumper",moderate,375
"Fender, Windshield",severe,268
"Bonnet, Windshield",severe,204
"Door, Windshield, Bumper, Fender",moderate,368
"Light, Door, Fender, Bumper, Dickey, Bonnet, Windshield",moderate,413
